Estimates of Monthly Retail and Food Services Sales by Kind of Business: 1996,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 1996,Feb. 1996,Mar. 1996,Apr. 1996,May 1996,Jun. 1996,Jul. 1996,Aug. 1996,Sep. 1996,Oct. 1996,Nov. 1996,Dec. 1996,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","185,019","192,380","212,110","211,718","226,936","217,511","218,111","226,062","209,250","222,663","223,953","258,081","2,603,794",,
,Retail sales and food services excl motor vehicle and parts,"140,160","142,805","156,474","157,622","168,786","162,597","163,040","170,581","158,129","168,434","175,816","211,843","1,976,287",,
,Retail sales and food services excl gasoline stations,"170,546","178,221","196,494","195,694","209,508","200,554","201,072","208,791","193,275","205,992","207,716","241,506","2,409,369",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"125,687","128,646","140,858","141,598","151,358","145,640","146,001","153,310","142,154","151,763","159,579","195,268","1,781,862",,
,"Retail sales, total","167,372","173,941","191,851","191,886","205,797","196,842","197,140","204,270","189,424","201,927","203,621","237,478","2,361,549",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","122,513","124,366","136,215","137,790","147,647","141,928","142,069","148,789","138,303","147,698","155,484","191,240","1,734,042",,
,GAFO(1),"43,533","45,999","51,526","51,479","55,557","53,585","52,522","58,714","53,061","56,556","65,498","94,583","682,613",,
441,Motor vehicle and parts dealers,"44,859","49,575","55,636","54,096","58,150","54,914","55,071","55,481","51,121","54,229","48,137","46,238","627,507",,
"4411,4412",Automobile and other motor vehicle dealers,"40,774","45,392","51,156","49,404","53,269","50,191","50,106","50,510","46,624","49,156","43,541","41,820","571,943",,
4411,Automobile dealers,"39,261","43,538","48,844","46,624","50,252","47,187","47,404","47,531","44,473","46,980","41,746","40,109","543,949",,
44111,New car dealers,"36,390","40,087","44,798","42,745","46,525","43,649","43,833","44,020","41,252","43,454","38,484","37,103","502,340",,
44112,Used car dealers,"2,871","3,451","4,046","3,879","3,727","3,538","3,571","3,511","3,221","3,526","3,262","3,006","41,609",,
4413,"Automotive parts, acc., and tire stores","4,085","4,183","4,480","4,692","4,881","4,723","4,965","4,971","4,497","5,073","4,596","4,418","55,564",,
"442,443","Furniture, home furn, electronics, and appliance stores","10,614","10,431","11,419","10,925","11,517","11,376","11,564","12,151","11,525","12,044","13,353","16,848","143,767",,
442,Furniture and home furnishings stores,"4,788","4,833","5,410","5,310","5,603","5,479","5,673","5,893","5,589","5,970","6,425","6,734","67,707",,
4421,Furniture stores,"2,884","2,960","3,270","3,127","3,278","3,205","3,242","3,358","3,232","3,344","3,619","3,649","39,168",,
4422,Home furnishings stores,"1,904","1,873","2,140","2,183","2,325","2,274","2,431","2,535","2,357","2,626","2,806","3,085","28,539",,
44221,Floor covering stores,"1,039","1,006","1,135","1,225","1,242","1,211","1,303","1,322","1,244","1,371","1,292","1,249","14,639",,
442299,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
443,Electronics and appliance stores,"5,826","5,598","6,009","5,615","5,914","5,897","5,891","6,258","5,936","6,074","6,928","10,114","76,060",,
443141,Household appliance stores,748,699,784,802,858,853,855,899,817,856,944,"1,100","10,215",,
443142,Electronics stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
444,Building mat. and garden equip. and supplies dealers,"11,587","11,828","13,406","15,667","16,952","16,177","16,228","15,796","14,901","16,190","14,430","13,521","176,683",,
4441,Building mat. and supplies dealers,"10,050","10,148","11,357","12,751","13,919","13,529","13,874","13,765","12,970","14,060","12,549","11,481","150,453",,
44412,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
44413,Hardware stores,974,916,"1,025","1,247","1,364","1,303","1,238","1,182","1,079","1,183","1,172","1,224","13,907",,
445,Food and beverage stores,"31,733","30,778","33,060","32,158","34,382","33,452","34,426","34,841","32,214","33,524","34,045","36,460","401,073",,
4451,Grocery stores,"29,172","28,191","30,245","29,344","31,364","30,470","31,377","31,747","29,495","30,674","31,014","32,454","365,547",,
44511,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
4453,"Beer, wine, and liquor stores","1,679","1,652","1,837","1,798","1,957","1,958","2,034","2,062","1,781","1,860","1,992","2,547","23,157",,
446,Health and personal care stores,"8,401","8,510","8,964","8,904","9,366","8,818","9,079","9,182","8,611","9,288","9,132","11,302","109,557",,
44611,Pharmacies and drug stores,"7,134","7,190","7,510","7,425","7,755","7,264","7,484","7,629","7,208","7,811","7,699","9,701","91,810",,
447,Gasoline stations,"14,473","14,159","15,616","16,024","17,428","16,957","17,039","17,271","15,975","16,671","16,237","16,575","194,425",,
448,Clothing and clothing access. stores,"7,684","8,991","10,349","10,570","11,405","10,554","10,202","12,134","10,623","11,250","12,875","19,944","136,581",,
4481,Clothing stores,"5,325","6,050","7,189","7,278","7,648","7,277","7,000","8,304","7,495","8,024","9,114","13,008","93,712",,
44811,Men's clothing stores,639,651,708,718,774,759,660,761,744,793,919,"1,420","9,546",,
44812,Women's clothing stores,"1,565","1,834","2,193","2,346","2,552","2,375","2,072","2,353","2,276","2,413","2,594","3,665","28,238",,
44814,Family clothing stores,"2,262","2,627","3,194","3,175","3,275","3,155","3,192","3,851","3,333","3,659","4,339","6,197","42,259",,
44819,Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
4482,Shoe stores,"1,245","1,414","1,757","1,857","1,889","1,764","1,738","2,228","1,676","1,657","1,778","2,232","21,235",,
44831,Jewelry stores,"1,036","1,428","1,306","1,347","1,755","1,397","1,366","1,466","1,323","1,451","1,830","4,464","20,169",,
451,"Sporting goods, hobby, musical instrument, and book stores","4,140","3,521","4,102","4,096","4,042","4,286","4,166","4,989","4,334","4,340","5,208","8,847","56,071",,
45111,Sporting goods stores,"1,327","1,309","1,649","1,702","1,773","1,895","1,833","1,992","1,594","1,453","1,608","2,675","20,810",,
45112,"Hobby, toy, and game stores",705,737,890,862,669,849,877,874,870,"1,094","2,002","4,073","14,502",,
451211,Book stores,"1,373",757,743,750,853,838,786,"1,359","1,040",899,908,"1,599","11,905",,
452,General merchandise stores,"18,968","20,786","23,572","23,755","26,154","25,149","24,073","26,711","24,163","26,366","31,144","44,464","315,305",,
4521,Department stores,"12,299","13,768","15,808","15,957","17,454","16,655","15,768","17,932","16,092","17,462","21,389","31,619","212,203",,
452111,Department stores(excl. discount department stores),"4,982","5,810","6,783","6,754","7,289","6,797","6,469","7,806","7,092","7,615","9,591","15,184","92,172",,
452112,Discount dept. stores,"7,317","7,958","9,025","9,203","10,165","9,858","9,299","10,126","9,000","9,847","11,798","16,435","120,031",,
4529,Other general merchandise stores,"6,669",7018,7764,"7,798","8,700","8,494","8,305","8,779","8,071","8,904","9,755","12,845","103,102",,
45291,Warehouse clubs and superstores,"4,758","4,915","5,432","5,474","6,125","6,027","5,913","6,244","5,808","6,371","6,993","9,019","73,079",,
45299,All other gen. merchandise stores,"1,911","2,103","2,332","2,324","2,575","2,467","2,392","2,535","2,263","2,533","2,762","3,826","30,023",,
453,Miscellaneous store retailers,"5,367","5,945","5,950","6,509","7,520","7,041","7,082","7,244","6,729","7,017","7,036","9,379","82,819",,
4532,"Office supplies, stationery, and gift stores","2,127","2,270","2,084","2,133","2,439","2,220","2,517","2,729","2,416","2,556","2,918","4,480","30,889",,
45321,Office supplies and stationery stores,"1,371","1,297","1,184","1,131","1,235","1,105","1,256","1,436","1,314","1,332","1,337","1,594","15,592",,
45322,"Gift, novelty, and souvenir stores",756,973,900,"1,002","1,204","1,115","1,261","1,293","1,102","1,224","1,581","2,886","15,297",,
45330,Used merchandise stores,481,481,578,598,744,618,591,611,588,631,630,705,"7,256",,
454,Nonstore retailers,"9,546","9,417","9,777","9,182","8,881","8,118","8,210","8,470","9,228","11,008","12,024","13,900","117,761",,
4541,Electronic shopping and mail-order houses,"4,549","4,226","4,703","4,566","4,563","4,250","4,442","4,586","4,875","5,816","6,676","7,854","61,106",,
45431,Fuel dealers,"2,865","2,569","2,223","1,731","1,458","1,191","1,237","1,286","1,447","1,853","2,053","2,650","22,563",,
722,Food services and drinking places,"17,647","18,439","20,259","19,832","21,139","20,669","20,971","21,792","19,826","20,736","20,332","20,603","242,245",,
7224,Drinking places,993,"1,026","1,114","1,050","1,094","1,069","1,096","1,137","1,053","1,100","1,101","1,116","12,949",,
7225,Restaurants and other eating places,"15,338","15,979","17,563","17,200","18,344","17,985","18,279","18,964","17,161","17,940","17,583","17,813","210,149",,
722511,Full service restaurants,"7,503","7,911","8,650","8,469","8,941","8,682","8,944","9,513","8,642","8,998","8,972","8,888","104,113",,
