Estimates of Monthly Retail and Food Services Sales by Kind of Business: 1993,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 1993,Feb. 1993,Mar. 1993,Apr. 1993,May 1993,Jun. 1993,Jul. 1993,Aug. 1993,Sep. 1993,Oct. 1993,Nov. 1993,Dec. 1993,TOTAL,,
4411,Automobile dealers,"27,823","28,364","33,803","35,150","35,095","36,890","36,647","35,804","34,668","34,873","33,932","34,077","407,126",,
44111,New car dealers,"25,801","26,165","31,277","32,586","32,786","34,497","34,162","33,517","32,501","32,534","31,679","32,017","379,522",,
44112,Used car dealers,"2,022","2,199","2,526","2,564","2,309","2,393","2,485","2,287","2,167","2,339","2,253","2,060","27,604",,
4413,"Automotive parts, acc., and tire stores","3,146","3,174","3,617","3,801","3,795","3,955","4,055","4,063","3,896","3,933","3,776","3,599","44,810",,
"442,443","Furniture, home furn, electronics, and appliance stores","8,209","7,643","8,528","8,346","8,558","8,902","9,129","9,139","9,014","9,235","10,311","13,574","110,588",,
442,Furniture and home furnishings stores,"4,104","3,908","4,369","4,372","4,535","4,568","4,682","4,733","4,621","4,775","5,158","5,631","55,456",,
4421,Furniture stores,"2,553","2,447","2,713","2,646","2,766","2,744","2,807","2,775","2,751","2,822","3,027","3,248","33,299",,
4422,Home furnishings stores,"1,551","1,461","1,656","1,726","1,769","1,824","1,875","1,958","1,870","1,953","2,131","2,383","22,157",,
44221,Floor covering stores,828,805,916,967,933,976,974,"1,011","1,013","1,042","1,005",990,"11,460",,
442299,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
443,Electronics and appliance stores,"4,105","3,735","4,159","3,974","4,023","4,334","4,447","4,406","4,393","4,460","5,153","7,943","55,132",,
443141,Household appliance stores,641,593,669,701,727,803,920,817,741,773,804,948,"9,137",,
443142,Electronics stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
444,Building mat. and garden equip. and supplies dealers,"8,947","9,208","11,073","12,374","13,296","13,209","12,523","12,470","12,149","12,220","11,872","11,623","140,964",,
4441,Building mat. and supplies dealers,"7,746","7,932","9,408","10,146","10,769","11,083","10,813","10,905","10,578","10,711","10,388","9,947","120,426",,
44412,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
44413,Hardware stores,879,805,983,"1,092","1,285","1,205","1,181","1,098","1,073","1,107","1,094","1,198","13,000",,
445,Food and beverage stores,"30,039","28,126","30,455","30,820","31,891","31,352","33,029","31,215","30,622","31,223","30,803","34,941","374,516",,
4451,Grocery stores,"27,571","25,748","27,911","28,112","29,096","28,576","30,067","28,470","28,022","28,532","28,081","31,132","341,318",,
44511,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
4453,"Beer, wine, and liquor stores","1,614","1,529","1,678","1,713","1,796","1,792","1,950","1,777","1,707","1,757","1,782","2,443","21,538",,
446,Health and personal care stores,"7,172","7,138","7,719","7,721","7,681","7,642","7,671","7,540","7,399","7,549","7,527","9,835","92,594",,
44611,Pharmacies and drug stores,"6,163","6,198","6,643","6,654","6,595","6,519","6,539","6,415","6,311","6,480","6,535","8,655","79,707",,
447,Gasoline stations,"12,527","12,060","13,163","13,377","14,089","13,999","14,447","14,121","13,376","13,961","13,520","13,736","162,376",,
448,Clothing and clothing access. stores,"7,502","7,524","8,766","9,867","10,063","9,635","9,794","10,628","10,013","10,346","11,760","18,851","124,749",,
4481,Clothing stores,"5,439","5,284","6,349","7,112","7,128","6,725","6,905","7,386","7,093","7,535","8,499","12,672","88,127",,
44811,Men's clothing stores,695,618,706,796,809,792,722,729,748,836,913,"1,598","9,962",,
44812,Women's clothing stores,"2,123","2,005","2,442","2,762","2,873","2,552","2,539","2,626","2,622","2,713","2,923","4,170","32,350",,
44814,Family clothing stores,"1,943","1,992","2,414","2,686","2,650","2,616","2,772","3,051","2,813","3,084","3,705","5,571","35,297",,
44819,Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
4482,Shoe stores,"1,173","1,161","1,439","1,670","1,615","1,564","1,544","1,895","1,659","1,523","1,608","2,177","19,028",,
44831,Jewelry stores,795,992,895,997,"1,235","1,259","1,267","1,260","1,180","1,203","1,549","3,797","16,429",,
451,"Sporting goods, hobby, musical instrument, and book stores","3,254","2,735","3,211","3,374","3,315","3,424","3,440","3,880","3,611","3,496","4,260","7,573","45,573",,
45111,Sporting goods stores,"1,032",984,"1,213","1,367","1,387","1,457","1,457","1,531","1,313","1,199","1,377","2,474","16,791",,
45112,"Hobby, toy, and game stores",598,576,683,735,685,722,745,682,671,799,"1,480","3,275","11,651",,
451211,Book stores,998,568,602,583,612,618,607,983,903,669,692,"1,273","9,108",,
452,General merchandise stores,"16,097","16,319","19,066","20,271","21,562","20,562","20,679","21,834","20,631","22,628","26,702","39,645","265,996",,
4521,Department stores,"11,164","11,300","13,411","14,245","15,110","14,345","14,348","15,461","14,478","15,971","19,064","28,788","187,685",,
452111,Department stores(excl. discount department stores),"4,985","5,121","6,296","6,433","6,690","6,323","6,237","7,140","6,633","7,232","9,041","14,194","86,325",,
452112,Discount dept. stores,"6,179","6,179","7,115","7,812","8,420","8,022","8,111","8,321","7,845","8,739","10,023","14,594","101,360",,
4529,Other general merchandise stores,"4,933",5019,5655,"6,026","6,452","6,217","6,331","6,373","6,153","6,657","7,638","10,857","78,311",,
45291,Warehouse clubs and superstores,"2,878","2,885","3,260","3,454","3,772","3,667","3,742","3,792","3,699","4,081","4,726","6,672","46,628",,
45299,All other gen. merchandise stores,"2,055","2,134","2,395","2,572","2,680","2,550","2,589","2,581","2,454","2,576","2,912","4,185","31,683",,
453,Miscellaneous store retailers,"4,350","4,302","4,305","4,804","5,177","5,340","5,087","5,255","5,110","5,261","5,092","7,462","61,545",,
4532,"Office supplies, stationery, and gift stores","1,632","1,651","1,620","1,773","1,852","1,887","1,873","1,996","1,913","1,949","2,210","3,520","23,876",,
45321,Office supplies and stationery stores,875,825,832,813,846,894,883,"1,004",981,961,"1,038","1,175","11,127",,
45322,"Gift, novelty, and souvenir stores",757,826,788,960,"1,006",993,990,992,932,988,"1,172","2,345","12,749",,
45330,Used merchandise stores,403,431,414,415,443,710,527,617,500,543,487,646,"6,136",,
454,Nonstore retailers,"6,723","6,620","7,481","6,606","6,497","5,904","5,813","6,201","7,099","7,786","9,151","9,930","85,811",,
4541,Electronic shopping and mail-order houses,"3,057","2,739","3,299","2,962","2,791","2,667","2,621","2,895","3,280","3,869","4,955","5,542","40,677",,
45431,Fuel dealers,"1,893","1,885","1,901","1,300","1,099","1,058","1,018","1,105","1,203","1,436","1,658","2,010","17,566",,
722,Food services and drinking places,"16,201","15,625","17,414","17,841","18,712","18,571","19,092","19,329","18,108","18,745","17,463","18,366","215,467",,
7224,Drinking places,959,920,"1,019","1,056","1,057","1,017","1,096","1,052",971,"1,033",978,983,"12,141",,
7225,Restaurants and other eating places,"13,975","13,460","15,017","15,351","16,070","15,993","16,469","16,699","15,622","16,150","15,051","15,862","185,719",,
722511,Full service restaurants,"6,830","6,675","7,297","7,486","7,868","7,783","8,019","8,292","7,699","8,015","7,418","7,740","91,122",,
"722513, 722514, 722515",Limited service eating places,"7,145","6,785","7,720","7,865","8,202","8,210","8,450","8,407","7,923","8,135","7,633","8,122","94,597",,
,ADJUSTED(2),,,,,,,,,,,,,,,
,"Retail and food services sales, total","175,108","173,744","172,306","176,749","178,426","178,157","180,743","180,707","181,773","182,884","184,747","186,399",,,
,Retail sales and food services excl motor vehicle and parts,"137,487","137,021","136,351","138,228","139,420","139,265","140,453","140,203","141,570","142,027","142,670","143,603",,,
,Retail sales and food services excl gasoline stations,"161,710","160,148","158,819","163,210","164,905","164,696","167,241","167,335","168,357","169,129","170,993","172,772",,,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"124,089","123,425","122,864","124,689","125,899","125,804","126,951","126,831","128,154","128,272","128,916","129,976",,,
,"Retail sales, total","157,555","156,266","154,752","158,979","160,605","160,127","162,816","162,506","163,258","164,685","166,594","168,161",,,
,"Retail sales, total (excl. motor vehicle and parts dealers)","119,934","119,543","118,797","120,458","121,599","121,235","122,526","122,002","123,055","123,828","124,517","125,365",,,
,GAFO(1),"46,591","45,838","45,536","46,789","47,239","47,261","48,003","47,827","48,228","48,317","48,652","48,920",,,
441,Motor vehicle and parts dealers,"37,621","36,723","35,955","38,521","39,006","38,892","40,290","40,504","40,203","40,857","42,077","42,796",,,
"4411,4412",Automobile and other motor vehicle dealers,"34,021","33,087","32,430","34,849","35,267","35,171","36,479","36,689","36,342","37,020","38,267","39,035",,,
4413,"Automotive parts, acc., and tire stores","3,600","3,636","3,525","3,672","3,739","3,721","3,811","3,815","3,861","3,837","3,810","3,761",,,
"442,443","Furniture, home furn, electronics, and appliance stores","9,032","8,850","8,846","9,024","9,127","9,176","9,282","9,312","9,369","9,373","9,434","9,487",,,
442,Furniture and home furnishings stores,"4,637","4,507","4,463","4,564","4,642","4,609","4,640","4,645","4,640","4,663","4,693","4,693",,,
443,Electronics and appliance stores,"4,395","4,343","4,383","4,460","4,485","4,567","4,642","4,667","4,729","4,710","4,741","4,794",,,
444,Building mat. and garden equip. and supplies dealers,"11,333","11,410","11,184","11,417","11,720","11,669","11,781","11,875","11,786","11,908","12,297","12,583",,,
4441,Building mat. and supplies dealers,"9,634","9,744","9,610","9,765","10,046","9,931","10,040","10,088","10,065","10,201","10,451","10,777",,,
445,Food and beverage stores,"31,045","31,233","31,058","31,129","31,164","31,168","31,349","31,126","31,201","31,346","31,363","31,499",,,
4451,Grocery stores,"28,220","28,419","28,307","28,367","28,386","28,377","28,554","28,357","28,478","28,618","28,625","28,773",,,
4453,"Beer, wine and liquor stores","1,840","1,836","1,814","1,792","1,791","1,796","1,799","1,786","1,767","1,768","1,780","1,773",,,
446,Health and personal care stores,"7,518","7,651","7,605","7,683","7,666","7,680","7,756","7,678","7,772","7,758","7,784","7,989",,,
44611,Pharmacies and drug stores,"6,426","6,566","6,558","6,608","6,615","6,652","6,714","6,613","6,664","6,660","6,689","6,875",,,
447,Gasoline stations,"13,398","13,596","13,487","13,539","13,521","13,461","13,502","13,372","13,416","13,755","13,754","13,627",,,
448,Clothing and clothing access. stores,"10,581","10,150","9,916","10,257","10,386","10,411","10,593","10,406","10,549","10,449","10,475","10,442",,,
4481,Clothing stores,"7,621","7,265","7,056","7,336","7,399","7,299","7,418","7,272","7,404","7,379","7,384","7,314",,,
44811,Men's clothing stores,828,824,826,836,840,822,841,816,827,828,820,838,,,
44812,Women's clothing stores,"3,011","2,709","2,584","2,703","2,760","2,695","2,769","2,671","2,703","2,662","2,652","2,580",,,
4482,Shoe stores,"1,572","1,534","1,528","1,555","1,577","1,583","1,571","1,602","1,619","1,595","1,616","1,647",,,
44831,Jewelry stores,"1,270","1,242","1,228","1,260","1,303","1,426","1,503","1,443","1,439","1,388","1,387","1,392",,,
451,"Sporting goods, hobby, musical instrument, and book stores","3,648","3,585","3,608","3,749","3,746","3,702","3,810","3,804","3,825","3,817","3,930","4,018",,,
452,General merchandise stores,"21,383","21,392","21,273","21,759","21,993","21,957","22,343","22,315","22,429","22,647","22,760","22,905",,,
4521,Department stores,"15,334","15,119","14,985","15,406","15,523","15,517","15,757","15,775","15,785","15,985","15,987","15,988",,,
4529,Other general merchandise stores,"6,049","6,273","6,288","6,353","6,470","6,440","6,586","6,540","6,644","6,662","6,773","6,917",,,
45291,Warehouse clubs and superstores,"3,394","3,579","3,606","3,674","3,757","3,784","3,886","3,893","4,008","4,073","4,175","4,378",,,
45299,All other gen. merchandise stores,"2,655","2,694","2,682","2,679","2,713","2,656","2,700","2,647","2,636","2,589","2,598","2,539",,,
453,Miscellaneous stores retailers,"5,352","4,896","4,811","5,033","4,967","5,153","5,064","5,115","5,222","5,432","5,159","5,377",,,
454,Nonstore retailers,"6,644","6,780","7,009","6,868","7,309","6,858","7,046","6,999","7,486","7,343","7,561","7,438",,,
4541,Electronic shopping and mail order houses,"3,184","3,230","3,231","3,216","3,230","3,164","3,236","3,275","3,438","3,563","3,703","3,705",,,
45431,Fuel dealers,"1,326","1,385","1,610","1,396","1,427","1,486","1,495","1,505","1,508","1,512","1,538","1,453",,,
722,Food services and drinking places,"17,553","17,478","17,554","17,770","17,821","18,030","17,927","18,201","18,515","18,199","18,153","18,238",,,
,,,,,,,,,,,,,,,,
(NA) Not advailable,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,,,
